Lokasi;Latitude;Longitude;
Weda;0.34160299912748765;1.278.476.213.816.390;
Weda Tengah;0.5180718143746648;12.788.981.391.410.400;
Weda Utara;0.45372135267539093;12.819.584.586.817.700;
Weda Selatan;0.2190820663358144;12.785.814.701.727.300;
Patani;0.2837411452947505;12.880.218.788.619.200;
Patani Utara;0.4000759046132439;12.863.612.613.078.500;
Pulau Gebe;-0.04916289321837482;1.294.055.360.089.350;
Were;0.359893784354826;12.786.053.222.873.400;
Fidi Jaya;0.3504959340788942;12.785.643.040.161.500;
Nurweda;0.31670088845485284;12.785.674.337.206.800;
Nusliko;0.2949423963735129;12.787.720.747.155.600;
Goeng;0.3151423017992733;12.787.357.064.876.200;
Lelilef Sawai;0.47592348496176967;12.794.293.021.679.300;
Lelilef Waibulan;0.4543390177251834;12.791.091.012.948.300;
Sagea;0.46604083490281256;1.280.906.094.282.210;
Kobe;0.4428339917425829;12.788.890.468.993.300;
Mesa;0.4011525280133698;12.829.205.993.702.200;
Wedana;0.33321271453196216;12.786.122.348.408.400;
